IntegerID,CodePrediction,RealProductTypeCode
84916,1280,1280
84917,1280,1160
84918,2583,2583
84919,2583,2583
84920,2522,2522
84921,1300,1300
84922,2060,1940
84923,2280,2280
84924,1560,1560
84925,2583,2583
84926,2280,2280
84927,1560,1280
84928,1300,1300
84929,1280,40
84930,1160,1160
84931,10,1300
84932,1140,1140
84933,2280,2280
84934,1281,1281
84935,40,40
84936,1140,1140
84937,2585,2585
84938,2522,2522
84939,2522,2522
84940,1281,1140
84941,1920,1920
84942,1320,1320
84943,2583,2583
84944,1280,1280
84945,2462,2462
84946,2060,2060
84947,10,1281
84948,1560,1920
84949,2585,2585
84950,1920,1920
84951,2583,2583
84952,2060,2060
84953,10,2462
84954,2220,2220
84955,1140,1140
84956,2905,2905
84957,2585,2582
84958,2462,2462
84959,1280,1280
84960,1280,1281
84961,1280,1280
84962,2705,2705
84963,2583,2583
84964,1280,1280
84965,2522,2522
84966,1300,1300
84967,2280,2403
84968,1920,1920
84969,2462,40
84970,2583,2583
84971,2583,2583
84972,2280,10
84973,50,40
84974,2280,2403
84975,1920,1920
84976,2583,2583
84977,2583,2583
84978,10,10
84979,1320,1560
84980,2280,2280
84981,2280,2280
84982,10,1160
84983,2280,2280
84984,2583,2583
84985,2585,2585
84986,2280,2280
84987,2583,2583
84988,2582,2582
84989,2280,2280
84990,1560,1560
84991,1281,1281
84992,2522,2522
84993,2280,2280
84994,1280,1280
84995,50,50
84996,2060,2060
84997,2583,2583
84998,1300,1300
84999,1920,1920
85000,10,10
85001,1560,2060
85002,2583,2583
85003,2583,2583
85004,1300,1300
85005,2585,2585
85006,1140,1140
85007,2280,1280
85008,2403,2403
85009,1300,1280
85010,2583,2583
85011,1560,1560
85012,1140,1140
85013,2583,2583
85014,10,1940
85015,1320,1320
85016,2583,2583
85017,2583,2583
85018,1160,1160
85019,10,2585
85020,2583,2583
85021,2280,2280
85022,2403,2403
85023,2280,10
85024,2522,2522
85025,2585,2585
85026,1160,1160
85027,2280,2280
85028,2585,2585
85029,2220,2220
85030,2280,2280
85031,2522,2522
85032,10,40
85033,10,1940
85034,10,1160
85035,10,10
85036,2583,2583
85037,1560,1560
85038,40,40
85039,1560,1920
85040,2403,10
85041,1280,1280
85042,1280,1281
85043,2220,2220
85044,2280,10
85045,10,1560
85046,1320,1320
85047,2583,2583
85048,2220,1320
85049,1320,2060
85050,2583,2583
85051,1302,1302
85052,2905,2905
85053,1140,1140
85054,2280,2280
85055,2585,2585
85056,1280,1281
85057,10,1160
85058,10,10
85059,2280,2280
85060,1320,1320
85061,2583,2583
85062,1560,1320
85063,1300,1300
85064,1560,1560
85065,1280,1281
85066,10,2403
85067,1160,2403
85068,10,1300
85069,10,40
85070,2583,2583
85071,1920,1920
85072,1281,1281
85073,40,40
85074,1140,1160
85075,1280,1281
85076,1920,1920
85077,1300,1300
85078,1320,1320
85079,2280,2403
85080,1160,1160
85081,2462,2462
85082,1302,1302
85083,1940,1940
85084,50,1560
85085,2583,2583
85086,2585,2585
85087,2705,1281
85088,1140,1280
85089,1140,2060
85090,2583,2583
85091,2583,2583
85092,2522,2522
85093,10,2705
85094,2280,2280
85095,1320,1320
85096,10,1160
85097,1920,1920
85098,2583,2583
85099,2462,2462
85100,10,2403
85101,1300,1300
85102,2583,2583
85103,2060,2060
85104,10,10
85105,2522,2522
85106,2583,2583
85107,2583,2583
85108,1280,2585
85109,2280,2280
85110,2705,10
85111,2583,2583
85112,2583,2583
85113,2583,2583
85114,2403,2403
85115,1300,1300
85116,2522,2522
85117,2583,2583
85118,1300,1300
85119,1940,1940
85120,10,2403
85121,1280,1320
85122,1560,1920
85123,1280,1280
85124,1920,1920
85125,1300,1300
85126,2705,2705
85127,2060,1560
85128,2583,1302
85129,10,50
85130,1140,2462
85131,1320,1320
85132,1560,1560
85133,2583,2583
85134,2582,2582
85135,2522,1281
85136,1140,1140
85137,2522,2522
85138,2060,2060
85139,10,1140
85140,2705,2705
85141,2583,2583
85142,1320,1320
85143,10,1300
85144,2905,2905
85145,2583,2583
85146,1300,1300
85147,2583,2583
85148,1280,1320
85149,2403,1180
85150,10,1300
85151,2522,2522
85152,1280,10
85153,2280,2705
85154,2280,1940
85155,1320,1320
85156,2522,2522
85157,2583,2583
85158,2522,2522
85159,2705,2705
85160,10,10
85161,2583,2583
85162,1920,1920
85163,2522,2522
85164,2462,2462
85165,1300,1280
85166,2582,2582
85167,10,1160
85168,1300,1300
85169,2280,2403
85170,50,50
85171,10,2522
85172,1160,1160
85173,10,40
85174,2583,2583
85175,1920,1920
85176,1920,1920
85177,1160,1160
85178,1280,1280
85179,2583,2583
85180,2522,2522
85181,1920,1920
85182,1300,1300
85183,1301,1301
85184,1920,1920
85185,2060,1280
85186,2403,1280
85187,1920,1920
85188,1302,1302
85189,1300,1280
85190,2582,2582
85191,2060,2060
85192,1320,2582
85193,2522,2522
85194,1920,1920
85195,2462,50
85196,1560,1560
85197,2522,2522
85198,2583,2583
85199,2403,2403
85200,1560,1560
85201,2060,2060
85202,1280,1281
85203,1300,1300
85204,2522,2522
